FID,Volcano_Number,Volcano_Name,Primary_Volcano_Type,Last_Eruption_Year,Country,Geological_Summary,Region,Subregion,Latitude,Longitude,Elevation,Tectonic_Setting,Geologic_Epoch,Evidence_Category,Primary_Photo_Link,Primary_Photo_Caption,Primary_Photo_Credit,Major_Rock_Type,GeoLocation
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_162a,221252,East Zway,Fissure vent(s),,Ethiopia,"A large area of Recent-to-prehistorical basaltic cinder cones and lava flows lies within abotu 5 km of the SE shore of Lake Zway (also spelled Zwai, Zeway, and Ziway), and also forms islands along its E shore. About 80 vents were formed along the East Zway segment of the Wonji Fault Belt. The youngest lava flows have been unaffected by the latest tectonic faulting along the Ethiopian Rift.     ",Africa and Red Sea,Africa (northeastern) and Red Sea,7.874,38.902,1889,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,http://volcano.si.edu/photos/full/115021.jpg,"A large area of Holocene-to-prehistorical cinder cones and lava flows lies immediately east and south of Zway Lake (bottom) and forms islands along its eastern shore in this NASA Landsat mosaic (with north to the top).  Faulting along the East Zway segment of the Wonji Fault Belt is seen cutting horizontally across the bottom of the image.  The dark-colored Alutu volcanic complex lies the lower left.  The 15 x 30 km wide Zway (also spelled Zwai, Zeway, or Ziway) lake occupies the central Ethiopian Rift.",NASA Landsat7 image (worldwind.arc.nasa.gov),Basalt / Picro-Basalt,POINT (7.874 38.902)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_162b,221260,Butajiri-Silti Field,Fissure vent(s),,Ethiopia,"The Butajiri-Silti volcanic field consists of a large group of basaltic cinder cones, maars, and lava flows in an 80-km-long, NE-SW-trending area near the west margin of the Ethiopian Rift. At least 13 maars, many filled by lakes, are located near the town of Debre Zeit, SE of the capital city of Addis Ababa. The maars were erupted through Pleistocene rhyolitic lava flows and tuffs.  Eruptions of the younger basaltic cinder cones were contemporaneous with those that produced the maars. Some of the lava flows associated with the cinder cones are very young and are considered to be prehistorical in age (Di Paola, 1972).",Africa and Red Sea,Africa (northeastern) and Red Sea,8.05,38.35,2281,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,http://volcano.si.edu/photos/full/001046.jpg,"The 1-km-wide, lake-filled Ara-Shetan maar is located at the south end of the Butajiri-Silti volcanic field.  It consists of a large group of basaltic cinder cones, maars, and lava flows in an 80-km-long, NE-SW-trending area near the west margin of the Ethiopian Rift.  At least 13 maars, many filled by lakes, are located near the town of Debre Zeit, SE of Ethiopia's capital city, Addis Ababa.  Eruption of basaltic cinder cones and associated youthful lava flows was contemporaneous with those that produced the maars.  ",Photo by Giday Wolde-Gabriel (Los Alamos National Laboratory).,Basalt / Picro-Basalt,POINT (8.05 38.35)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_162c,221270,Alutu,Stratovolcano,-50,Ethiopia,"Alutu, between lakes Zway  and Mirrga (Langano), is a stratovolcano with multiple vents aligned along NNE-SSW and E-W fissures along a narrow graben between the two lakes. This silicic volcanic center lies along the regional Wonji Fault Belt and has produced abundant pumice-flow and pumice-fall deposits, along with lesser rhyolitic lava flows. Obsidian lava flows erupted from craters along the fissures have descended the flanks in all directions. Cinder cones, lava domes, phreatic explosion craters, and thermal springs are structurally controlled. The oldest known eruptions produced the Hulo-Seyno Ignimbrite about 155,000 years ago. The latest eruptions produced obsidian flows and pumice breccias about 2000 years ago. Eruptive products overlie recent basaltic lava flows to the west. Strong fumarolic activity continues, and the volcano has been the object of a geothermal exploration program.",Africa and Red Sea,Africa (northeastern) and Red Sea,7.77,38.78,2335,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,http://volcano.si.edu/photos/full/104026.jpg,"Alutu volcano lies between light-brown Lake Mirrga (Lake Langano) on the south and greenish Lake Zway on the north.  The volcano displays several craters aligned along NNE-SSW and E-W fissures.  Dark-colored obsidian lava flows erupted from craters along the fissures have descended the flanks in all directions.  Although the age of the most recent eruption of Alutu is not known, its eruptive products overlie recent basaltic lava flows to the west, and strong fumarolic activity continues.     ","NASA Space Shuttle image ISS001-363-7, 2001 (http://eol.jsc.nasa.gov/).",Rhyolite,POINT (7.77 38.78)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_162d,221280,O'a Caldera,Caldera,,Ethiopia,"O'a caldera along the central Ethiopian Rift is the country's largest rift-valley caldera. The caldera forms the eastern portion of the 15 x 25 km dumbbell-shaped Lake O'a (also known as Lake Shalla).  Formation of the caldera about 240,000 years ago was accompanied by the eruption of two ignimbrite deposits, the first of which was strongly welded. The only post-caldera activity consists of two pyroclastic cones to the N, one silicic and the other basaltic, and a group of tuff rings, spatter cones, and lava flows of Holocene (perhaps as young as prehistorical) age near the SW shore of the lake.  These were erupted along the Corbetti-Shalla segment of the Wonji Fault Belt, which extends N from Corbetti caldera.  Fumarolic activity continues on all sides of the lake.     ",Africa and Red Sea,Africa (northeastern) and Red Sea,7.47,38.58,2075,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,http://volcano.si.edu/photos/full/104025.jpg,The eastern (right) side of dumbbell-shaped Lake O'a (Lake Shalla) forms the 17-km-wide O'a caldera.  Greenish-colored Lake Kunni (Lake Abiata) at the upper right lies NE of the Pleistocene caldera.  Post-caldera activity produced pyroclastic cones north of the caldera.  The small greenish Chitu maar on the SW side of the lake was erupted in an area of Holocene vents along the Corbetti-Shalla fissure system extending north from Corbetti caldera.  Fumarolic activity continues on the southern and eastern shores of the lake. ,"NASA Space Shuttle image ISS001-363-7, 2001 (http://eol.jsc.nasa.gov/).",Rhyolite,POINT (7.47 38.58)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_162e,221290,Corbetti Caldera,Caldera,,Ethiopia,"The 15-km-wide Corbetti caldera overlaps the NW margin of the older 30 x 40 km Awasa caldera. Urji volcano was subsequently constructed in its center, which also contains young lava flows. Chabbi volcano, a large obsidian dome that grew on the SE caldera rim, has erupted lava flows onto the caldera floor. The age of the latest eruptive activity is not known, although many lava flows are too young to date by the Potassium-Argon method. Fumarolic activity continues at the post-caldera cones of Urji, Chabbi, and an unnamed pyroclastic cone on the W rim.",Africa and Red Sea,Africa (northeastern) and Red Sea,7.18,38.43,2320,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,http://volcano.si.edu/photos/full/001047.jpg,"Chabbi volcano, rising to the north across Awasa lake, is a very large obsidian dome constructed on the SE rim of the 15-km-wide Corbetti caldera, which itself lies within the NW side of the larger Awasa caldera.  In this photo Corbetti caldera is out of view behind its southern rim, which forms the low saddle at the left.  Lava flows from Chabbi extend into Corbetti caldera.  The age of the latest eruption of Corbetti volcano is not known, although fumarolic activity continues.",Photo by Giday Wolde-Gabriel (Los Alamos National Laboratory).,Rhyolite,POINT (7.18 38.43)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_162f,221291,Bilate River Field,Maar(s),,Ethiopia,"The Bilate River basin west of Lake Awasa contains a group of lake-filled maars and tuff rings of Pleistocene and probable Holocene age (WoldeGabriel 1987, pers. comm.). Active hot springs and fumaroles are located in this area.",Africa and Red Sea,Africa (northeastern) and Red Sea,7.07,38.1,1700,Intraplate / Continental crust (> 25 km),Holocene,Unrest / Holocene,http://volcano.si.edu/photos/full/115045.jpg,Three lake-filled maars occupy the center of this NASA Landsat composite image (with north to the top).  The Bilate River basin west of Lake Awasa (out of view to the right) contains a group of maars and tuff rings of Pleistocene and probable Holocene age.  Active hot springs and fumaroles are located in this area. ,NASA Landsat7 image (worldwind.arc.nasa.gov),No Data (checked),POINT (7.07 38.1)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_1630,221292,Tepi,Shield,,Ethiopia,"The densely forested Tepi basaltic shield volcano, morphologically unmodified in a region of high rainfall, is capped by prominent cinder cones and small craters. Three satellitic centers are located along an E-W line north of the main shield. Lava flows have traveled down pre-existing valleys. Tepi lies at the northern end of the Turkana rift, about 300 km W of the center of the main Ethiopian rift, and was constructed along a zone of ENE-trending faults that extends in line with the Gulf of Aden. There are associated active hot springs, and the volcano considered by Davidson (1983) to be of probable Holocene age.",Africa and Red Sea,Africa (northeastern) and Red Sea,7.42,35.43,2728,Intraplate / Continental crust (> 25 km),Holocene,Unrest / Holocene,http://volcano.si.edu/photos/full/117027.jpg,"The densely forested Tepi basaltic shield volcano lies about 300 km west of the Ethiopian Rift in southern Ethiopia.  A small crater near the center of this NASA Landsat image (with north to the top) is one of many satellite features on this broad volcano, whose 2728-m-high summit forms Ethiopia's highest Holocene volcano.  Lava flows have traveled down pre-existing valleys.  Active hot springs are found on Tepi, Ethiopia's highest Holocene volcano.  The smoke plume at the right is from a vegetation fire.",NASA Landsat7 image (worldwind.arc.nasa.gov),Basalt / Picro-Basalt,POINT (7.42 35.43)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_1631,221293,Hobicha Caldera,Caldera,,Ethiopia,"Hobicha Caldera, N of Lake Abaya, is a large Pleistocene caldera.  Fissures cutting its SE margin  produced numerous pyroclastic cones of Pleistocene-to-Holocene age (WoldeGabriel 1987, pers. comm.).  This area of young basaltic volcanism is also referred to as the Northern Lake Abaya volcanic field.   ",Africa and Red Sea,Africa (northeastern) and Red Sea,6.78,37.83,1800,Intraplate / Continental crust (> 25 km),Holocene,Evidence Uncertain,,,,Basalt / Picro-Basalt,POINT (6.78 37.83)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_1632,221300,Chiracha,Stratovolcano,,Ethiopia,"Chiracha is a rhyolitic stratovolcano located on the Wonji fault belt NE of Lake Abaya. Rift zone volcanoes are thought to be Pleistocene-to-Holocene in age; Chiracha may be Pleistocene. The nearby Holocene fissure basalts located to the W (Mohr and Wood 1976, WoldeGabriel 1987, pers. comm.), may be those related to the northern Lake Abaya volcanic field, or Hobicha Caldera.",Africa and Red Sea,Africa (northeastern) and Red Sea,6.712,38.085,1636,Rift zone / Continental crust (> 25 km),Holocene,Evidence Uncertain,,,,Rhyolite,POINT (6.712 38.085)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_1633,221310,Tosa Sucha,Pyroclastic cone(s),,Ethiopia,"A group of cinder cones at Tosa Sucha on the north shore of Lake Chamo in the southern Ethiopian Rift has produced unvegetated olivine basaltic lava flows and may have been active as recently as historical time (Ebinger et al., 1993). The cones and flows on the eastern end of the Chamo Basin were erupted along NNE-trending fissures between Lake Chamo and Lake Abaya to the north.  Some cones form islands in Lake Chamo.",Africa and Red Sea,Africa (northeastern) and Red Sea,5.93,37.57,1650,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,http://volcano.si.edu/photos/full/115044.jpg,"A group of cinder cones at Tosa Sucha lies near the northern shore of Lake Chamo, the greenish lake at the bottom-center portion of this NASA Landsat image (with north to the top).  The cones occupy a faulted area between Lake Chamo and the southern end of yellowish Lake Abaya.  Some cones form islands in Lake Chamo.  The unvegetated olivine basaltic lava flows have been estimated to perhaps have been active as recently as historical time.      ",NASA Landsat7 image (worldwind.arc.nasa.gov),Basalt / Picro-Basalt,POINT (5.93 37.57)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_1634,221311,Unnamed,Pyroclastic cone(s),,Ethiopia,"A group of unnamed cinder cones erupted from NNE-trending fissures SE of Lake Chamo, along the southern Ethiopian Rift, have produced unvegetated olivine basaltic lava flows possibly erupted as recently as historical time (Ebinger et al., 1993).      ",Africa and Red Sea,Africa (northeastern) and Red Sea,5.65,37.67,1200,Rift zone / Intermediate crust (15-25 km),Holocene,Evidence Credible,,,,Basalt / Picro-Basalt,POINT (5.65 37.67)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_1635,221320,Korath Range,Tuff cone(s),,Ethiopia,"The Korath Range is an isolated group of tuff cones and lava flows in southern Ethiopia that were erupted along the Turkana Rift, which extends north from Kenya. About 20 tuff cones occupy the Korath Range, many of which issued lava flows from their flanks that traveled up to about 5 km.  The apparent youngest flow issued from the central crater and flowed through a breach in its rim. The absolute age of the dominantly basanitic-tephritic lava flows is unknown, but a shell adhering to the youngest flow was radiocarbon dated at 7900 years before present (BP) (Brown et al., 1969). Davidson (1983) indicated an age between 30,000 BP and 7900-9500 BP.",Africa and Red Sea,Africa (northeastern) and Red Sea,5.1,35.88,912,Rift zone / Intermediate crust (15-25 km),Holocene,Evidence Uncertain,http://volcano.si.edu/photos/full/114100.jpg,"The fissure-controlled Korath Range is an isolated group of tuff cones and lava flows in southern Ethiopia that were erupted along the Turkana Rift.  The Korath Range tuff cones issued many lava flows that traveled up to about 5 km, forming lobate margins, most prominently on the western flanks of the massif.  The apparent youngest flow issued from the central crater and flowed through a breach in its rim.  ",NASA Landsat7 image (worldwind.arc.nasa.gov),Trachybasalt / Tephrite Basanite,POINT (5.1 35.88)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_1636,221330,Mega Basalt Field,Pyroclastic cone(s),,Ethiopia-Kenya,"The Mega Basalt field, straddling the Ethiopia-Kenya border, is referred to in Kenya as the Dukana volcanic field.  The Ethiopian portion was considered to have been active during the Holocene (Mohr, 1979; Davidson, 1983).  The Kenyan portion was mapped as Pleistocene, with one Potassium-Argon date of about 0.9 million years (Charsely, 1987).  The 1.8-km-wide Gof Dukana basaltic maar is surrounded by ejecta containing abundant basement igneous and metamorphic rocks.  About 50 pyroclastic cones with associated lava flows rise above the lava platform in northern Kenya.    ",Africa and Red Sea,Africa (northeastern) and Red Sea,4.08,37.42,1067,Rift zone / Intermediate crust (15-25 km),Holocene,Evidence Credible,http://volcano.si.edu/photos/full/115020.jpg,"Pyroclastic cones of the Mega Basalt field dot the center of this NASA Landsat image (with north to the top).  The volcanic field, straddling the Ethiopia-Kenya border, which cuts diagonally across the image from the upper left to lower right, is referred to in Kenya as the Dukana volcanic field.  The volcanic field includes the 1.8-km-wide Gof Dukana basaltic maar, and about 50 pyroclastic cones with associated lava flows rise to about 150 m above the lava platform in northern Kenya.    ",NASA Landsat7 image (worldwind.arc.nasa.gov),Basalt / Picro-Basalt,POINT (4.08 37.42)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_1637,222001,North Island,Tuff cone(s),,Kenya,"The 2-km-wide North Island in Lake Turkana is the northernmost and smallest of three volcanic islands in the lake. It is primarily composed of trachyandesitic-to-trachytic phreatomagmatic deposits from overlapping eroded tuff cones or tuff rings. The center of the island consists of a young tuff ring about 1 km in diameter nested inside an older tuff ring.  Two fresh unvegetated lava flows that reach the lake shore from the central tuff ring form lava deltas on the N and W sides of the island; the northern delta is about 900 m wide.  The two blocky lava flows are younger than a terrace that formed less than 10,000 years ago during the last major high-water level (Key and Watkins, 1988).  Geothermal activity occurs along a curvilinear ridge on the S portion of the island and on wave-cut platforms and beaches on the SW shoreline.",Africa and Red Sea,Africa (eastern),4.059,36.049,490,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,http://volcano.si.edu/photos/full/100044.jpg,"North Island in the north-central part of elongated Lake Turkana is the northernmost and smallest of three volcanic islands in the lake.  The two fresh unvegetated lava flows from a central tuff ring reach the lakeshore and form lava deltas.  The broad northern flow (left) originated from a vent on the flank of the tuff ring and produced a 900-m-wide, lobate delta.  The western flow (lower right) moved from the central vent through a breach in the western crater wall.  Fumarolic activity occurs along the light-colored ridge at the top and along the SW coast.","Photo by Martin Smith, 1993 (copyright British Geological Survey, NERC).",Trachyandesite / Basaltic Trachyandesite,POINT (4.059 36.049)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_1638,222010,Central Island,Tuff cone(s),,Kenya,"Central Island, also known as Crocodile Island, occupies the middle of Lake Turkana and is composed of more than a dozen craters and cones, three of which are filled by small lakes. The two largest lakes partially fill craters up to 1 km wide and about 80 m deep.  An E-W chain of small explosion craters cuts the E side of the 3-km-wide island. Several small islands to the SE represent partially submerged crater rims, and other cones and lava plugs lie beneath the lake surface near the island. The youngest tuffs and lavas may be as young as Holocene (Karson and Curtis, 1992). Fumarolic activity is concentrated along the NE-to-SE rim of the central crater, and sprays of sulfur from the fumaroles were observed by visitors in the 1930s. In 1974 intense emission of molten sulfur and steam clouds were seen from the mainland.",Africa and Red Sea,Africa (eastern),3.496,36.04,518,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,http://volcano.si.edu/photos/full/100043.jpg,"A compound lake-filled crater occupies the SW side of Central Island in the middle of Lake Turkana.  A small young crater (left central) cuts the northern rim of the tuff cone, and another large crater whose lake is barely visible lies behind it.  These lakes partially fill craters up to a km wide and about 80 m deep whose floors lie near sea level.  The small islands (upper right) south of Central Island are part of the volcanic complex, and other cones and lava plugs lie beneath the lake surface.  The eastern shore of Lake Turkana is visible on the horizon. ","Photo by Martin Smith, 1993 (copyright British Geological Survey, NERC).",Basalt / Picro-Basalt,POINT (3.496 36.04)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_1639,222021,Marsabit,Shield,,Kenya,"Marsabit is a massive basaltic shield volcano located 170 km E off the center of the East African Rift. Its slopes are dotted with 22 maars and 180 cinder cones, most of which are concentrated along NW- and NE-trending belts that cut across the thickly vegetated summit region.  The main phase of shield construction occurred during the Pliocene.  Quaternary activity shifted to explosive activity that formed maars accompanied by further extensive effusion of lava flows.  The youngest dated lava flow has a Potassium-Argon age of 0.68 +/- 0.16 million years, but more recent activity has also occurred.  The youngest lava flows are unvegetated, and Key (1987) mapped the post-shield cinder cones as Pleistocene-to-Recent in age.  ",Africa and Red Sea,Africa (eastern),2.32,37.97,1707,Rift zone / Continental crust (> 25 km),Holocene,Evidence Uncertain,http://volcano.si.edu/photos/full/104034.jpg,"A Space Shuttle perspective shows part of Marsabit, a massive, 6300 sq km shield volcano located 170 km east of the center of the East African Rift.  Its slopes are dotted with 180 cinder cones and 22 maars, such as the prominent circular one below the thickly vegetated summit of the shield volcano.  Most of these vents are concentrated along NW- and NE-trending belts cutting across the summit.  The youngest lava flows are unvegetated, and the post-shield cinder cones were mapped as Pleistocene to Holocene in age.  ","NASA Space Shuttle image STS026-37-2, 1988 (http://eol.jsc.nasa.gov/).",Basalt / Picro-Basalt,POINT (2.32 37.97)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_163a,222020,South Island,Stratovolcano,1888,Kenya,"The southernmost and largest of the three volcanic islands in Lake Turkana, South Island (sometimes referred to as Hohnel Island), contains numerous tuff cones.  Early stage tuff cone formation may have been associated with a high stand of Lake Turkana dated at about 10,000 years ago, and later subaerial activity postdates the last high stand of the lake about 3200 years ago. The island is part of a volcanic horst that extends 10 km to the N beneath the lake surface.  Fresh-looking lava flows, erupted from a N-S fissure extending the 11-km length of the island, form much of the eastern shoreline. The dominantly basaltic lava flows are morphologically similar to the youthful Holocene flows of The Barrier volcano at the S end of Lake Turkana.  An eruption from a scoria cone on the island was witnessed during Count von Teliki's 1888 expedition.    ",Africa and Red Sea,Africa (eastern),2.63,36.6,800,Rift zone / Continental crust (> 25 km),Holocene,Eruption Observed,http://volcano.si.edu/photos/full/119031.jpg,"South Island (right) is the southernmost and largest of the three volcanic islands in Lake Turkana.  The island (sometimes referred to as Hohnel Island) contains numerous tuff cones and rises 320 m above the lake surface.  Fresh-looking lava flows, erupted from a N-S fissure extending the 11-km length of the island, form much of the eastern shoreline.  An eruption from a scoria cone on South Island was witnessed during Count von Teliki's 1888 expedition.    ","Photo by Doron, 1999 (http://commons.wikimedia.org/wiki/Image:LakeTurkanaSouthIsland.jpg).",Basalt / Picro-Basalt,POINT (2.63 36.6)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_163b,222030,"Barrier, The",Shield,1921,Kenya,"The Barrier volcanic complex separates Lake Turkana from the broad Suguta Trough to the S, the site of a former lake.  The volcano is comprised of four overlapping shield volcanoes, with the youngest, Kakorinya, located over the axis of the East African Rift.  Kalolenyang volcano lies W of Kakorinya, and Likaiu West and Likaiu East are located to the ENE.  A 3.8-km-wide summit caldera was formed at Kakorinya about 92,000 years ago.  Youthful-looking trachytic and phonolitic lava domes and flows erupted within the caldera and along its ring fracture fill much of the caldera floor.  Early Holocene fissure-related scoria cones and lava flows dot the S and N flanks.  Solfataric fields are located within the caldera and on the W and S flanks.  Historical eruptions from Teleki's and Andrew's cones on the N and S flanks, respectively, have produced basaltic explosive activity and lava flows during the 19th and 20th centuries.",Africa and Red Sea,Africa (eastern),2.32,36.57,1032,Rift zone / Continental crust (> 25 km),Holocene,Eruption Observed,http://volcano.si.edu/photos/full/100042.jpg,"A northward-looking aerial view shows the summit caldera of Kakorinya volcano of The Barrier volcanic complex with Lake Turkana in the distance.  The 3.8-km-wide summit caldera was formed about 92,000 years ago, and youthful-looking post-caldera lava domes and flows fill much of the caldera floor.  Fresh-looking lava flows and tuff cones occur along the shores of Lake Turkana.  Teleki's Cone on the northern flank and Andrew's Cone (lower left foreground) on the southern flank have been the source of historical lava flows.","Photo by Martin Smith, 1993 (copyright British Geological Survey, NERC).",Trachyte / Trachydacite,POINT (2.32 36.57)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_163c,222040,Namarunu,Shield,-6550,Kenya,"The largely Pliocene Namarunu trachytic shield volcano is topped by parasitic cones and lava flows of upper Pleistocene and Holocene age.  Voluminous basaltic effusive and explosive activity took place during the early Holocene on the lower N, E, and S flanks along the axis of the East African Rift. The activity produced fissure-controlled subaerial basaltic scoria cones and lava flows, and partially or completely sub-lacustral tuff cones, tuff rings, and pillow lavas.  Fluid olivine basalts were also erupted from a breached scoria cone, forming the summit.  The youngest eruptions postdated the drying out of Lake Sugata about 3000 years ago.  Some could be as recent as the historical eruptions at The Barrier volcano to the north (Dunkley et al., 1993).  Hot springs are located on some of the young volcanic cones on the rift valley floor and on the E side of the rift along the base of the Tirr Tirr Plateau.",Africa and Red Sea,Africa (eastern),1.98,36.43,817,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,http://volcano.si.edu/photos/full/100041.jpg,"Young basaltic lavas, scoria cones, and tuff deposits were erupted along the eastern base of Namarunu volcano along the axis of the East African Rift.  This view looks south with the rift margin escarpment of the Tirr Tirr Plateau in the distance at the upper left.  Numerous fissure-controlled subaerial basaltic scoria cones and lava flows, as well as partially or completely sublacustral tuff cones, tuff rings, and pillow lavas were erupted along the flanks of the volcano.  The youngest eruptions postdated the drying out of Lake Sugata about 3000 years ago.  ","Photo by Martin Smith, 1993 (copyright British Geological Survey, NERC).",Basalt / Picro-Basalt,POINT (1.98 36.43)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_163d,222050,Segererua Plateau,Pyroclastic cone(s),,Kenya,"A large number of late-Pleistocene to Holocene basaltic cones, lava flows, and maars occur along a roughly 50-km-long NE-SW trend on the Segererua and Rusarus Plateaus and areas to the SW. This volcanic region is located well E of the East African Rift, S of the massive Marsabit shield volcano. The two plateaus host most of the vents and are bounded by the Milgis River to the N and the Merille River to the S. Other vents lie to the SW, east of the Kauro River, and another large area of basaltic lava flows lies to the W.",Africa and Red Sea,Africa (eastern),1.57,37.9,699,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,http://volcano.si.edu/photos/full/117039.jpg,"The Segererua and Rusarus Plateaus, right of the center of this NASA Landsat image (with north to the top) contain a large number of late-Pleistocene to Holocene basaltic cones, lava flows, and maars.  The Milgris River cuts across the top of the image, and Merille River lies just below the center of the image.  Other vents lie east of the Kauro River (bottom center).  Plateau basalts are also visible at the right-center.  ",NASA Landsat7 image (worldwind.arc.nasa.gov),Basalt / Picro-Basalt,POINT (1.57 37.9)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_163e,222051,Emuruangogolak,Shield,1910,Kenya,"The broad Emuruangogolak shield volcano is situated at a narrow constriction in the Gregory Rift and almost completely straddles it. A 5 x 3.5 km summit caldera formed about 38,000 years ago. Since then trachytic and basaltic lava flows were erupted on the northern and southern flanks and within the caldera. A NNE-SSW-trending chain of lake-filled basaltic maars extends along the floor of the rift from the lower flanks of the volcano. Young lava flows were also erupted from vents along rift valley faults. Well-preserved parasitic cones erupted along rift-parallel faults cutting the volcano abound; the latest eruption produced a trachytic lava flow dated from secular magnetic variation measurements at about the beginning of the 20th century.  Fumarolic activity and hot steaming ground occurs along NNE-trending fissures within the caldera and along the lower NW flanks.",Africa and Red Sea,Africa (eastern),1.5,36.33,1285,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,http://volcano.si.edu/photos/full/100040.jpg,"The broad Emuruangogolak shield volcano is situated at a narrow constriction in the East African Rift.  The volcano is capped by a 5 x 3.5 km wide summit caldera, whose southern rim cuts across the center of the photo.  The trachytic lava cone of Emuruepoli and its associated dome on the east are visible on the northern rim of the caldera.  Since formation of the caldera about 38,000 years ago, trachytic and basaltic lava flows were erupted within the caldera and on the volcano's flanks; the latest eruption occurred less than a hundred years ago.  ","Photo by Martin Smith, 1993 (copyright British Geological Survey, NERC).",Trachyte / Trachydacite,POINT (1.5 36.33)
VOTW_Holocene_Volcanoes.fid--4d9842f7_162e410decd_163f,222052,Silali,Shield,-5050,Kenya,"The 30-km-wide Silali trachytic shield volcano, the largest Quaternary volcano in the northern Gregory Rift, completely straddles the East African Rift.  An impressive 5 x 8 km summit caldera with 300 m deep walls is thought to have formed about 63,000 years ago.  Caldera formation is thought to have been incremental, related to eruption of the Kantenmening basaltic and trachytic lava flows.  A series of summit-area lava benches formed by eruptions from circumferential fissures has produced a volcano morphologically similar to Galapagos Islands volcanoes. The N, E, and S flanks are cut by a prominent broad rift zone 10 km wide and 30 km long, dotted with numerous pyroclastic cones.  Lava domes on the upper E flank formed during the late Pleistocene and early Holocene, until about 7 ka.  Youthful parasitic cones abound on the caldera floor and on the N and NE flanks; the youngest lava flows may be little more than a few hundred years old (Williams et al. 1984).  Geothermal activity occurs within the caldera and on the upper E flanks.",Africa and Red Sea,Africa (eastern),1.15,36.23,1528,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,http://volcano.si.edu/photos/full/100039.jpg,"The impressive 5 x 8 km summit caldera of Silali volcano is seen in an aerial view from the SE.  Formation of the 300-m-deep caldera is related to the incremental eruption of basaltic and trachytic lava flows about 63,000 years ago. N-S-trending rift valley faults cutting across the volcano can be seen at the lower left.  Some of the youthful parasitic cones on the caldera floor and flanks of Silali, the largest volcano of the northern Gregory Rift, may be little more than a few hundred years old.","Photo by Martin Smith, 1993 (copyright British Geological Survey, NERC).",Trachyte / Trachydacite,POINT (1.15 36.23)
